Id,Inode,Jnode,LatitudIn,LongitudIn,LatitudJn,LongitudJn
5616-4124,5616,4124,6.24739515793853,-75.5584688312771,6.24701450015155,-75.5586857791894
5616-5614,5616,5614,6.24739515793853,-75.5584688312771,6.24791040878631,-75.5594705970406
5616-4191,5616,4191,6.24739515793853,-75.5584688312771,6.24795579161918,-75.5581895957775
5617-3689,5617,3689,6.24338986921833,-75.5560966145907,6.24281958203019,-75.5564756754453
5617-5618,5617,5618,6.24338986921833,-75.5560966145907,6.24237910126358,-75.5538537339241
5617-4679,5617,4679,6.24338986921833,-75.5560966145907,6.24433811103656,-75.5575801102281
5617-4199,5617,4199,6.24338986921833,-75.5560966145907,6.24423200607607,-75.5555642898635
5618-5617,5618,5617,6.24237910126358,-75.5538537339241,6.24338986921833,-75.5560966145907
5618-5963,5618,5963,6.24237910126358,-75.5538537339241,6.24280909026543,-75.5536128609508
5618-5965,5618,5965,6.24237910126358,-75.5538537339241,6.24221351965171,-75.5539275500861
5619-2560,5619,2560,6.24073733756742,-75.568779842615,6.24005793825863,-75.5674557836198
5619-2409,5619,2409,6.24073733756742,-75.568779842615,6.2410926138268,-75.5696058391271
5619-6000,5619,6000,6.24073733756742,-75.568779842615,6.23970193519013,-75.569246175279
5619-3679,5619,3679,6.24073733756742,-75.568779842615,6.2435584750675,-75.5676313024967
5620-3465,5620,3465,6.23713283789998,-75.569852276918,6.23623037872609,-75.5685544801081
5620-6442,5620,6442,6.23713283789998,-75.569852276918,6.23765181856935,-75.5700596093165
5620-6441,5620,6441,6.23713283789998,-75.569852276918,6.23696508950759,-75.5700707743417
5621-3403,5621,3403,6.23471010383329,-75.5712881120849,6.23521603173073,-75.5727572383505
5621-3406,5621,3406,6.23471010383329,-75.5712881120849,6.23646383779353,-75.5704064269272
5621-2605,5621,2605,6.23471010383329,-75.5712881120849,6.23214684487629,-75.5723476603401
5621-2414,5621,2414,6.23471010383329,-75.5712881120849,6.23428384435355,-75.5701162022928
5622-4169,5622,4169,6.25203429278388,-75.5647033469144,6.25227716159907,-75.5651242299355
5622-6069,5622,6069,6.25203429278388,-75.5647033469144,6.25176688381995,-75.5642997222917
5622-5623,5622,5623,6.25203429278388,-75.5647033469144,6.25416470342191,-75.5634030845014
5623-2393,5623,2393,6.25416470342191,-75.5634030845014,6.25504602224659,-75.5628786829281
5623-3963,5623,3963,6.25416470342191,-75.5634030845014,6.25451689799987,-75.5639548875242
5623-6068,5623,6068,6.25416470342191,-75.5634030845014,6.25379485296192,-75.5629521130887
5623-5622,5623,5622,6.25416470342191,-75.5634030845014,6.25203429278388,-75.5647033469144
5624-4057,5624,4057,6.25287579566689,-75.567496706643,6.25242339884769,-75.567595655942
5624-5122,5624,5122,6.25287579566689,-75.567496706643,6.25360867048979,-75.5673438210739
5624-5625,5624,5625,6.25287579566689,-75.567496706643,6.25242709502844,-75.5666886199934
5625-3432,5625,3432,6.25242709502844,-75.5666886199934,6.25090886721456,-75.5673248014851
5625-5624,5625,5624,6.25242709502844,-75.5666886199934,6.25287579566689,-75.567496706643
5625-5626,5625,5626,6.25242709502844,-75.5666886199934,6.25155944560065,-75.5653905791446
5625-2589,5625,2589,6.25242709502844,-75.5666886199934,6.25297662513007,-75.5662674108881
5626-4169,5626,4169,6.25155944560065,-75.5653905791446,6.25227716159907,-75.5651242299355
5626-3964,5626,3964,6.25155944560065,-75.5653905791446,6.24989183491817,-75.5664268075214
5626-6070,5626,6070,6.25155944560065,-75.5653905791446,6.2510783146279,-75.5647009194208
5626-5625,5626,5625,6.25155944560065,-75.5653905791446,6.25242709502844,-75.5666886199934
5627-2577,5627,2577,6.25782490560136,-75.5665167038532,6.25959820196545,-75.5662202989824
5627-5628,5627,5628,6.25782490560136,-75.5665167038532,6.2576448179493,-75.5657481251812
5627-2581,5627,2581,6.25782490560136,-75.5665167038532,6.25802290789371,-75.5674480191232
5627-5583,5627,5583,6.25782490560136,-75.5665167038532,6.25703966111971,-75.5666384846041
5628-5627,5628,5627,6.2576448179493,-75.5657481251812,6.25782490560136,-75.5665167038532
5628-6597,5628,6597,6.2576448179493,-75.5657481251812,6.25814074197492,-75.5655188571153
5628-2391,5628,2391,6.2576448179493,-75.5657481251812,6.25726116691627,-75.565893234833
5629-5009,5629,5009,6.25892374767931,-75.5718008110367,6.25862279059314,-75.5705855647612
5629-5011,5629,5011,6.25892374767931,-75.5718008110367,6.25895392808931,-75.5719930697283
5629-4087,5629,4087,6.25892374767931,-75.5718008110367,6.2621174732201,-75.5724606175899
5630-3360,5630,3360,6.25285312570773,-75.5746008961452,6.25334183320215,-75.5749110628009
5630-3361,5630,3361,6.25285312570773,-75.5746008961452,6.2523445277042,-75.573588906658
5630-5631,5630,5631,6.25285312570773,-75.5746008961452,6.25546657451595,-75.5732397177954
5630-5118,5630,5118,6.25285312570773,-75.5746008961452,6.25336925685278,-75.5755751384051
5630-5119,5630,5119,6.25285312570773,-75.5746008961452,6.25193186052848,-75.5749317917249
5631-5630,5631,5630,6.25546657451595,-75.5732397177954,6.25285312570773,-75.5746008961452
5631-4724,5631,4724,6.25546657451595,-75.5732397177954,6.25622598556785,-75.5728428350246
5631-4726,5631,4726,6.25546657451595,-75.5732397177954,6.25497471418844,-75.5724511714949
5631-2622,5631,2622,6.25546657451595,-75.5732397177954,6.25568856178208,-75.5736105846306
5632-2728,5632,2728,6.2732406388743,-75.5964572587333,6.27157145372816,-75.5942409484553
5632-5633,5632,5633,6.2732406388743,-75.5964572587333,6.27285692071005,-75.5945198567114
5632-5634,5632,5634,6.2732406388743,-75.5964572587333,6.2765970444786,-75.6050659264179
5633-2736,5633,2736,6.27285692071005,-75.5945198567114,6.27189781768858,-75.5938870587937
5633-5632,5633,5632,6.27285692071005,-75.5945198567114,6.2732406388743,-75.5964572587333
5634-2528,5634,2528,6.2765970444786,-75.6050659264179,6.27833475184601,-75.6042633615378
5634-5632,5634,5632,6.2765970444786,-75.6050659264179,6.2732406388743,-75.5964572587333
5634-4218,5634,4218,6.2765970444786,-75.6050659264179,6.27495554491296,-75.6056830529075
5634-5635,5634,5635,6.2765970444786,-75.6050659264179,6.2724212480967,-75.6177171128156
5634-116,5634,116,6.2765970444786,-75.6050659264179,6.27748348324821,-75.6051031097286
5635-4241,5635,4241,6.2724212480967,-75.6177171128156,6.27471962599191,-75.6246987186514
5635-5634,5635,5634,6.2724212480967,-75.6177171128156,6.2765970444786,-75.6050659264179
5636-5638,5636,5638,6.3112670752416,-75.5720175225844,6.3122112247394,-75.5743388380836
5636-5644,5636,5644,6.3112670752416,-75.5720175225844,6.31001703211224,-75.5720375312129
5636-5637,5636,5637,6.3112670752416,-75.5720175225844,6.31279361833835,-75.5727483320411
5636-5518,5636,5518,6.3112670752416,-75.5720175225844,6.31139965291454,-75.5712131852354
5637-5636,5637,5636,6.31279361833835,-75.5727483320411,6.3112670752416,-75.5720175225844
5637-5638,5637,5638,6.31279361833835,-75.5727483320411,6.3122112247394,-75.5743388380836
5638-5636,5638,5636,6.3122112247394,-75.5743388380836,6.3112670752416,-75.5720175225844
5638-5637,5638,5637,6.3122112247394,-75.5743388380836,6.31279361833835,-75.5727483320411
5638-5639,5638,5639,6.3122112247394,-75.5743388380836,6.31227344846669,-75.5752255812444
5639-5640,5639,5640,6.31227344846669,-75.5752255812444,6.31190236258215,-75.5753617806651
5639-5638,5639,5638,6.31227344846669,-75.5752255812444,6.3122112247394,-75.5743388380836
5640-5922,5640,5922,6.31190236258215,-75.5753617806651,6.3128285195245,-75.5781232882532
5640-5639,5640,5639,6.31190236258215,-75.5753617806651,6.31227344846669,-75.5752255812444
5641-5931,5641,5931,6.31402036448887,-75.5813321739622,6.31484982487328,-75.5832279690475
5641-612,5641,612,6.31402036448887,-75.5813321739622,6.31857942169066,-75.5802160854519
5641-5525,5641,5525,6.31402036448887,-75.5813321739622,6.31304768496383,-75.5787767784526
5641-5645,5641,5645,6.31402036448887,-75.5813321739622,6.31300534162262,-75.5815751744493
5642-5643,5642,5643,6.30723369132517,-75.57381928474,6.30810054559974,-75.5724948192148
5642-3907,5642,3907,6.30723369132517,-75.57381928474,6.30866258274838,-75.5747833924372
5643-5642,5643,5642,6.30810054559974,-75.5724948192148,6.30723369132517,-75.57381928474
5643-3867,5643,3867,6.30810054559974,-75.5724948192148,6.30804114363155,-75.5720044646697
5644-5636,5644,5636,6.31001703211224,-75.5720375312129,6.3112670752416,-75.5720175225844
5644-3869,5644,3869,6.31001703211224,-75.5720375312129,6.30983362413755,-75.5714933016884
5644-3871,5644,3871,6.31001703211224,-75.5720375312129,6.31129798437363,-75.5754717402852
5645-5641,5645,5641,6.31300534162262,-75.5815751744493,6.31402036448887,-75.5813321739622
5645-5524,5645,5524,6.31300534162262,-75.5815751744493,6.31221647451965,-75.5791455872448
5645-5933,5645,5933,6.31300534162262,-75.5815751744493,6.31325337990109,-75.5823558166983
5645-5526,5645,5526,6.31300534162262,-75.5815751744493,6.31221211015319,-75.5818348407334
5646-3792,5646,3792,6.34033836901454,-75.5501176065839,6.34059785663917,-75.5514782389054
5646-5664,5646,5664,6.34033836901454,-75.5501176065839,6.34179605391842,-75.5500898793182
5646-3794,5646,3794,6.34033836901454,-75.5501176065839,6.34047776056784,-75.5482796812558
5646-5330,5646,5330,6.34033836901454,-75.5501176065839,6.33959484837327,-75.5501285540713
5647-5664,5647,5664,6.34322383579191,-75.5501296371742,6.34179605391842,-75.5500898793182
5647-5654,5647,5654,6.34322383579191,-75.5501296371742,6.34340336675472,-75.5507580388585
5647-3718,5647,3718,6.34322383579191,-75.5501296371742,6.34323453026566,-75.5487098724437
5648-7002,5648,7002,6.33887139715265,-75.5497023226728,6.33829398168853,-75.5497117769881
5648-3005,5648,3005,6.33887139715265,-75.5497023226728,6.33888307495444,-75.550182094784
5648-3717,5648,3717,6.33887139715265,-75.5497023226728,6.33898819471746,-75.5480037688542
5649-5336,5649,5336,6.33648861811187,-75.5552229041515,6.33732419108125,-75.5553555334927
5649-3418,5649,3418,6.33648861811187,-75.5552229041515,6.33636896776717,-75.5562648838457
5649-3739,5649,3739,6.33648861811187,-75.5552229041515,6.33573953608549,-75.555118861114
5649-3020,5649,3020,6.33648861811187,-75.5552229041515,6.33659660477599,-75.5542689842134
5650-3779,5650,3779,6.33811373757929,-75.5616941949323,6.33821459005515,-75.5607376241392
5650-3830,5650,3830,6.33811373757929,-75.5616941949323,6.33924624398232,-75.5641156689992
5650-3735,5650,3735,6.33811373757929,-75.5616941949323,6.33668370591092,-75.5603637663001
5651-3725,5651,3725,6.33954832348466,-75.5537127698838,6.33959176262862,-75.5532786531502
5651-3790,5651,3790,6.33954832348466,-75.5537127698838,6.33885383670964,-75.5544773261332
5652-5333,5652,5333,6.33623237375551,-75.5510237245208,6.33612581222287,-75.5521333866855
5652-3006,5652,3006,6.33623237375551,-75.5510237245208,6.33644180913386,-75.5497143287059
5652-5655,5652,5655,6.33623237375551,-75.5510237245208,6.33808557733575,-75.5521377625895
5653-4800,5653,4800,6.33924640446146,-75.5518704885457,6.33990096289433,-75.5516690390796
5653-7003,5653,7003,6.33924640446146,-75.5518704885457,6.33870184509315,-75.5520284462273
5653-3005,5653,3005,6.33924640446146,-75.5518704885457,6.33888307495444,-75.550182094784
5653-3725,5653,3725,6.33924640446146,-75.5518704885457,6.33959176262862,-75.5532786531502
5654-3722,5654,3722,6.34340336675472,-75.5507580388585,6.34375731201457,-75.5521166722848
5654-5663,5654,5663,6.34340336675472,-75.5507580388585,6.34196090504648,-75.5511074774626
5654-5647,5654,5647,6.34340336675472,-75.5507580388585,6.34322383579191,-75.5501296371742
5655-7003,5655,7003,6.33808557733575,-75.5521377625895,6.33870184509315,-75.5520284462273
5655-5652,5655,5652,6.33808557733575,-75.5521377625895,6.33623237375551,-75.5510237245208
5656-5393,5656,5393,6.3467018432443,-75.5612114230384,6.34700255822302,-75.562541519534
5656-5658,5656,5658,6.3467018432443,-75.5612114230384,6.34518358074496,-75.5616278033671
5656-3733,5656,3733,6.3467018432443,-75.5612114230384,6.34635506979526,-75.559045128433
5657-5658,5657,5658,6.34443353043741,-75.5595453332281,6.34518358074496,-75.5616278033671
5657-3732,5657,3732,6.34443353043741,-75.5595453332281,6.34383685301997,-75.5595049342722
5657-3733,5657,3733,6.34443353043741,-75.5595453332281,6.34635506979526,-75.559045128433
5658-5656,5658,5656,6.34518358074496,-75.5616278033671,6.3467018432443,-75.5612114230384
5658-5657,5658,5657,6.34518358074496,-75.5616278033671,6.34443353043741,-75.5595453332281
5659-5660,5659,5660,6.34258203993553,-75.5559022151709,6.34325253300724,-75.5557376415789
5659-3732,5659,3732,6.34258203993553,-75.5559022151709,6.34383685301997,-75.5595049342722
5659-3781,5659,3781,6.34258203993553,-75.5559022151709,6.34188063164204,-75.5560476391738
5660-7040,5660,7040,6.34325253300724,-75.5557376415789,6.34313777240163,-75.5553070080004
5660-5659,5660,5659,6.34325253300724,-75.5557376415789,6.34258203993553,-75.5559022151709
5660-7039,5660,7039,6.34325253300724,-75.5557376415789,6.34392407572,-75.5555414101916
5661-7040,5661,7040,6.34276155167032,-75.5538952690442,6.34313777240163,-75.5553070080004
5661-3793,5661,3793,6.34276155167032,-75.5538952690442,6.34134858480505,-75.554263798927
5661-3237,5661,3237,6.34276155167032,-75.5538952690442,6.34413578822628,-75.553473275705
5661-5662,5661,5662,6.34276155167032,-75.5538952690442,6.34240908590651,-75.5524949725285
5662-3722,5662,3722,6.34240908590651,-75.5524949725285,6.34375731201457,-75.5521166722848
5662-3724,5662,3724,6.34240908590651,-75.5524949725285,6.34096588973224,-75.552881579132
5662-5661,5662,5661,6.34240908590651,-75.5524949725285,6.34276155167032,-75.5538952690442
5662-5663,5662,5663,6.34240908590651,-75.5524949725285,6.34196090504648,-75.5511074774626
5663-3792,5663,3792,6.34196090504648,-75.5511074774626,6.34059785663917,-75.5514782389054
5663-5664,5663,5664,6.34196090504648,-75.5511074774626,6.34179605391842,-75.5500898793182
5663-5662,5663,5662,6.34196090504648,-75.5511074774626,6.34240908590651,-75.5524949725285
5663-5654,5663,5654,6.34196090504648,-75.5511074774626,6.34340336675472,-75.5507580388585
5664-5665,5664,5665,6.34179605391842,-75.5500898793182,6.34184761828958,-75.5485157049062
5664-5663,5664,5663,6.34179605391842,-75.5500898793182,6.34196090504648,-75.5511074774626
5664-5646,5664,5646,6.34179605391842,-75.5500898793182,6.34033836901454,-75.5501176065839
5664-5647,5664,5647,6.34179605391842,-75.5500898793182,6.34322383579191,-75.5501296371742
5665-5664,5665,5664,6.34184761828958,-75.5485157049062,6.34179605391842,-75.5500898793182
5665-3794,5665,3794,6.34184761828958,-75.5485157049062,6.34047776056784,-75.5482796812558
5665-5509,5665,5509,6.34184761828958,-75.5485157049062,6.34212312303778,-75.5475626690508
5665-3718,5665,3718,6.34184761828958,-75.5485157049062,6.34323453026566,-75.5487098724437
5666-3857,5666,3857,6.34248327738274,-75.5460969272865,6.34375414084385,-75.5465743299937
5666-5509,5666,5509,6.34248327738274,-75.5460969272865,6.34212312303778,-75.5475626690508
5666-7006,5666,7006,6.34248327738274,-75.5460969272865,6.34270907045294,-75.5454728461034
5666-3855,5666,3855,6.34248327738274,-75.5460969272865,6.34109068230343,-75.5457253663874
5667-3185,5667,3185,6.18479195601208,-75.6574731095259,6.18708172555367,-75.6573184237343
5667-4803,5667,4803,6.18479195601208,-75.6574731095259,6.18472504248443,-75.6566994788723
5667-4463,5667,4463,6.18479195601208,-75.6574731095259,6.18397548871578,-75.6575496867607
5668-4826,5668,4826,6.16402708361469,-75.6197215173677,6.16412857528846,-75.6209614029973
5668-4470,5668,4470,6.16402708361469,-75.6197215173677,6.16315140976046,-75.6197351966327
5668-6023,5668,6023,6.16402708361469,-75.6197215173677,6.16487609246875,-75.61960361488
5669-6028,5669,6028,6.16815467446176,-75.6230771877828,6.16767496666163,-75.6225499768323
5669-4476,5669,4476,6.16815467446176,-75.6230771877828,6.16791777174931,-75.6253437897553
